research_sentence	judgment
To compare amygdala volumes in very preterm infants at term equivalent age (TEA) and term born infants, and to relate premature infants' amygdala volumes with their performance on the Laboratory Temperament Assessment Battery (Lab-TAB) fear episode at 12 months.	1
The aim of our study is to investigate partnered parents' shared time across countries to understand how social conditions, cultural norms, and policy contexts are related to the amount and nature of couples' shared time.	1
The study was carried out in order to determine the nature of AD-related information available on the internet in Korea, and to identify any changes since our last survey in 2005.	1
To describe the present coverage of the DNLR, its completeness, and accuracy of individual variables for acute myeloid leukemia (AML).	1
Aim of this study was study on relation between antiphospholipid antibodies in women with recurrent abortion and their gestational age and duration post abortion.	1
This study aimed to estimate the real incidence of bupropion-induced urticaria and clarify the delayed onset phenomenon.	1
In this study, we analyzed the immunohistochemical expression of a panel of markers in the classification and diagnosis of sinonasal SRBCTs.	1
We analyzed whether the breakpoints involved in chromosomal damage can help to assess the risk of cancer as well as to investigate their possible association with DNA repair efficiency.	1
This study aims to use serial QFT-G testing as a screening method for detecting LTBI in patients with psoriasis from an intermediate tuberculosis burden country.	1
To determine whether K kingae is present in culture-negative joint fluid specimens from children in eastern Ontario using polymerase chain reaction (PCR) detection methods.	1
In total, 733 SNPs located in the FTO gene were genotyped in order to examine whether rs9939609 alone or the other SNPs, or their combinations, are linked to obesity-related measures in elderly humans.	1
The purpose of our survey study was to describe: (a) clinician perspectives of their academic percussion training; (b) use of percussion testing during academic training; (c) clinician perspectives on relevance, adequacy, and importance of academic percussion training; (d) clinician perspectives of their nonacademic percussion training; and (e) current use of percussion in clinical practice.	1
To describe the antibiotic treatment required to correct it and if nutritional status improves.	1
To examine the effects of supportive therapy such as rehabilitation and medical and physical treatment on the development of lymphoedema, in an attempt to establish non-surgical ways to help prevent or reduce it.	1
This study investigated demographic factors contributing to a lack of knowledge and awareness of traffic laws among Hispanic drivers involved in motor vehicle collisions (MVCs) in southern California.	1
Research partners engaged staff to understand factors that increase or deter its use.	1
The objective of this study is to analyze the phytochemical profiles and bioactivities of 10 extracts prepared from different plant parts of wetland macrophytes Hanguana malayana, Ludwigia adscendens and Monochoria hastata.	1
To assess the efficacy and safety of treatment of patients with symptomatic WOPN and disruption of the main pancreatic duct, who underwent endoscopic transpapillary drainage as the only access to the necrosis cavity.	1
The goal of our study was to quantify post-MI electrical remodeling by measuring the sum absolute QRST integral (SAI QRST).	1
To evaluate physical functional capacity in patients with schizophrenia and ascertain whether it correlates with markers of inflammation, disease severity, and pharmacotherapy.	1
The main aim of this study was to assess the prevalence and contributing factors of DTP among ambulatory HF patients in Jimma University Specialized Hospital, Ethiopia.	1
Documentation of the clinical phenotype could assist with diagnosis in affected boys and will lead to early initiation of tumour surveillance.	1
To compare living conditions and environmental health status in IMs relative to South African (SA) households, both living in settings of poverty in Johannesburg, SA.	1
Increased inferior reaming of the glenoid for inferiorly tilted implantation of the glenoid component will decrease glenoid bone stock and compromise the fixation of RSA.	1
The aim of our study was to investigate whether INL thickening and MME are related to optic neuritis (ON) in various neuro-inflammatory disorders causingON: MS, NMO and chronic inflammatory optic neuropathy.	1
To investigate the effect of social relations on the association between parental socioeconomic position and school dropout in the Danish youth cohort Vestliv.	1
The aims of the present study were to translate, culturally adapt, and validate the Farsi version of the PASS in a sample of Iranian medical students.	1
To describe the prevalence of malnutrition among female learners in the Nongoma and Ceza districts in Zululand, KwaZulu-Natal (KZN).	1
The objectives of this study are to estimate the prevalence of depression in adults registered with the Family Health Strategy in two remote cities in the Brazilian Amazon and to investigate the proportion of individuals with depression that received mental health care.	1
The aim of this pilot study was to evaluate the correlation between EPI and A-FABP in asymptomatic patients with a family history of CVD.	1
We sought to identify whether surgeons, as compared to emergency physicians, are sufficiently prepared to assume command in the event of a mass disaster.	1
This study was conducted to explore the role of IL-17 in host defense against acute pseudomonas aeruginosa infection in lungs.	1
Penn State Milton S. Hershey Medical Center and Penn State Hershey PRO Wellness Center collaborated with Lebanon School District to facilitate student health screenings, a need identified in part by a community health needs assessment.	1
The aim of this study was to investigate the impact of DM on the epidemiological, clinical and para clinical aspects of pulmonary TB.	1
To investigate whether there is the differential anabolic response to mechanical loading between osteoblasts from SCI rats and those from hindlimb-immobilized rats.	1
The aim of the study was to assess tissue factor (TF), tissue factor pathway inhibitor (TFPI) and protein C in the plasma and tumor tissue homogenate in patients with intracranial tumors.	1
To assess the effectiveness of climatotherapy at the Dead Sea on the production of vitamin D in Norwegian patients suffering from various rheumatic diseases and to investigate possible associations between increased vitamin D serum levels, musculoskeletal symptoms and disease severity.	1
To determine the relationship between 25-hydroxyvitamin D [25(OH)D] levels and asthma symptom severity in children and adolescents.	1
A simple and efficient HPLC method was developed for the simultaneous determination of 11 bioactive compounds (4 iridoids, 1 phenylpropanoid, 6 flavonoids).	1
To conduct a scoping review to explore the role of hearing aids in tinnitus management.	1
Selection of specific biomarkers to predict the intensity of inflammation in the pleural exudate for targeted selection of patients suitable for talcage was the second aim of this study.	1
To analyze fQRS frequency and the relationship between fQRS and left ventricular function in kidney transplant patients.	1
To determine the characteristics of PED visits by neonates (infants ≒ 28 days of age) and to evaluate the factors affecting the acuity of these visits.	1
To conduct an updated meta-analysis of randomized controlled trials (RCTs) of omega-3 PUFA treatment of depressive disorders, taking into account the clinical differences among patients included in the studies.	1
We aimed to investigate the antidepressant and anxiolytic-like effects and mechanisms of gabapentin in rats.	1
This project aimed to engage school community members in the development, validation, and implementation of an observation instrument to identify characteristics of school violence in two Puerto Rican schools.	1
This study aimed to assess the safety and prophylactic effects of aminophylline on the incidence of apnea in premature neonates.	1
To evaluate the prevalence of CAH due to 21-OH deficiency, and its clinical presentation and biochemical profiles in affected children.	1
To investigate the association of the selenoprotein genes GPX1 (rs1050450, rs1800668, and rs3811699), TrxR2 (rs5748469), and DIO2 (rs225014) with Kashin-Beck disease (KBD) in a Tibetan population and to investigate the association of these SNPs with the serum iodine/selenium concentration in the Tibetan population.	1
To evaluate the effects of a mobile DM consultancy on clinical and laboratory parameters, disease knowledge, and quality of life in patients with type 2 DM (T2DM) at a primary health care network in Brazil.	1
This study aimed to assess the efficacy of a new method for the treatment of dermal warts.	1
To identify patients from the St. Paul's Hospital emergency department (ED) treated with moxifloxacin who also had sputum sent for investigation of possible tuberculosis and the impact on sensitivity of acid-fast bacilli (AFB) smears and time to initiation of tuberculosis treatment.	1
A survey was conducted to assess the use of TB surveillance data to monitor and guide TB programme activities in South Africa (SA).	1
The aim of the study was to measure the typical Hungarian nursing shift systems in hospitals, to analyse the causes of irregular work schedules, and to compare the sleep quality of nurses in different work schedules.	1
To explore differences in neonatal body composition in a multi-ethnic population, and the impact of key parental factors on these differences.	1
To highlight the problem of hypersensitivity to local anesthetics on the basis of authors' own experience and literature data.	1
To examine the prevalence of S. brevicaulis in clinical materials obtained from patients suspected of keratinized tissues mycoses.	1
To describe the occurrence of antimicrobial-resistant E coli in the recreational waters of beaches in southern Quebec.	1
Our aim was, in a control and a catabolic state, to measure continuously muscle anabolism in term of intensity and duration in response to a meal containing casein (CAS), whey (WHEY) or a whey/ plant protein blend (BLEND) and to evaluate the best protein source to elicit the best post prandial anabolism according to the physio-pathological state.	1
We examined whether these three dimensions were associated with cognitive behavior tests and the related sAA responses.	1
The aim of this study was to determine the diagnostic accuracy of the ESS for screening OSAS in patients with ST elevation myocardial infarction.	1
The aim of this work was to investigate the presence of HIV dual infections in HIV-infected individuals with high probability of reinfection	1
To examine how age influences sensory-processing abilities and the impact on handwriting as a daily performance.	1
To investigate whether a water-soluble protein-saving biopsy processing method followed by a proteomic analysis of supernatant samples using LC-MS/MS (LTQ Orbitrap) can be used to distinguish between CIN2 and CIN3.	1
To assess the perceptions of South African general surgery registrars regarding surgical training.	1
This study evaluated the use of music therapy, with a specific emphasis on emotional-approach coping, immediately prior to cardiac catheterization to impact periprocedural outcomes.	1
This exploratory literature review was aimed at providing a medical and psychological view of the psychological experience in expectant parents and physicians in the context of prenatal diagnosis of a fetal anomaly.	1
To determine the correlation between birth length and weight in female and male neonates born long and/or overweight for gestational age, with their height and weight at age 17.	1
The present study investigates the comparison between P. nigrum and P. trichostachyon using pharmacognostic parameters.	1
The present study was designed to evaluate the clinical course of patients with carbamate or organophosphate poisoning presenting to a University-based emergency department (ED).	1
To identify the differences in evidence-based practice decisions amongst occupational therapy students and experienced clinicians.	1
To verify the agreement of different reference equations in classifying patients with Chronic Obstructive Pulmonary Disease (COPD) as having reduced or preserved 6MWD.	1
The immunomodulatory effect of biogenic selenium nanoparticles (SeNPs) was compared between treated and untreated mice with crude antigens of 4T1 cells.	1
To estimate the cost of chronic kidney disease (CKD) and end-stage kidney disease (ESKD) attributable to diabetes, stratified by sex, race/skin color, and age, from the perspective of the Brazilian public health system between 2010 and 2016.	1
To determine the effect of dietary counseling on sodium intake and consequent BP control in kidney allograft recipients.	1
The purpose of this study was to evaluate the clinical efficacy of the intralesional MTX for the treatment of KA in Korean patients.	1
The study was designed to evaluate the benefits of the Recos program by comparing cognitive functioning before and after treatment.	1
The objective of this systematic review is to understand the evidence of the effect of cervical cancer education compared to control conditions on cervical cancer screening rates in eligible women population at risk of cervical cancer.	1
The aim of our study was the assessment of estimated Glomerular Filtration Rate (eGFR) by the Modification of Diet in Renal Disease 4 (MDRD4) method in patients with HBV chronic hepatitis, HCV chronic hepatitis, and cirrhosis (CH) caused by these viruses to detect any differences in renal function among these diseases.	1
To verify possible relation between c-kit+ expression and treatment response in non-segmental vitiligo lesions.	1
The study aimed to develop and evaluate predictive models for identification of future high-cost schizophrenia patients using advanced supervised machine learning methods.	1
Since immunoassay is a simple and rapid method for the analysis of many toxic substances in comparison to the chromatographic methods, it is necessary to produce specific and sensitive antibodies for detection of Aflatoxin M1 (AFM1).	1
To screen for prevalence of anxiety symptoms and their associated demographic and clinical features in an outpatient-based cohort with PD.	1
To evaluate the diagnostic efficacy of noninvasive liver fibrosis indexes in the diagnosis of PH.	1
The aim of this study was to evaluate the relationship between the severity of AD and indoor air pollution.	1
Assessment of the expression of MMP-9 and TIMP-2 in the placenta of women with intrauterine fetal growth restriction.	1
To determine whether modifying EMTALA might reduce ED use.	1
The current study attempted to model the survival of patients (two years old and above) after liver transplantation using neural network and Cox Proportional Hazards (Cox PH) regression models.	1
The objective of the current campaign was to determine the most effective source and message strategy to promote organ and tissue donation among mature adults.	1
The aim of this study was to analyze the health of the knee joints of a large group of these athletes via a specific self-report questionnaire.	1
To assess the radiation doses to neonates from diagnostic radiography (chest and abdomen).	1
The aim of this study was to evaluate the susceptibilities of genotypically different A. baumannii isolates to sulbactam, amikacin, netilmicin, meropenem, tigecycline and colistin.	1
The present study uses an in vitro experimental model to detect the underlying anti-inflammatory and chondroprotective effects of GB and provides a new way for future clinical therapy of OA.	1
The main purpose of this study was to investigate the diagnostic efficacy of pelvic MRI in determining the depth of myometrial invasion and cervical involvement in endometrial carcinoma.	1
Teeth vitality and soft tissue carbonization were also assessed.	1
To develop a score that accounts for SPT, sIgE and clinical history to predict the risk of severe reaction to the OFC.	1
We evaluated three dosages of TP when combined with a limited colloid resuscitation strategy on mean arterial pressure (MAP) and lactatemia in a swine model of isolated hemorrhage.	1
To evaluate PON1 activity in relation to cadmium, lead, and mercury levels in healthy, premenopausal women.	1
This study was performed to evaluate the effects of KMC on exclusive breastfeeding just at the time of discharge.	1
To describe and discuss the design, implementation, use, and ongoing evolution of a coordination and collaboration tool supporting ambulatory clinic operational workflow at Vanderbilt University Medical Center (VUMC).	1
The purpose of this study was to study the prevalence of UTI among pregnant women and its complications in their newborns during the birth in the hospitals of Dezful City, Iran, during 2012 - 2013.	1
Also the effect of different factors on the BDS process was investigated.	1
The secondary objectives were to describe the association between preoperative anaemia and (i) critical care admission and (ii) length of hospital stay, and the prevalence of preoperative anaemia in adult SA surgical patients.	1
To assess smoking and secondhand smoke exposure characteristics in twins.	1
To explore community understanding of policy changes in first-line treatment for uncomplicated malaria in Kenya; to evaluate the potential role of policy communication in influencing responses to changes in first-line treatment policy.	1
The current study aimed to determine the frequency of IFN - 污 producing blood cells of microbiology and radiology ward technicians by an in-house IFN - 污 ELISPOT assay in the University hospitals of Shiraz University of Medical Sciences (SUMS) against recombinant ESAT - 6 and PPD antigens.	1
The present study aimed to design a preliminary self-administered mizaj questionnaire and assessed its reliability and validity in Iran.	1
To assess the anthropometric and micronutrient status (iron, vitamin A, zinc, iodine) of Cambodian schoolchildren and their associations with cognitive performance.	1
Furthermore, it analyses the factors influencing the efficiency of these institutions.	1
Since C-PC/汕 has a big potential to be used as a promising cancer prevention or therapy agent, the purpose of this study was to clone and express Spirulina platensis cpcB gene in a bacterial expression system.	1
To describe the injury pattern and outpatient follow-up and care of ED patients with BSI.	1
The objective of this study was to determine the incidence and risk factors of liver abscess formation after thermal ablation of liver cancer.	1
To determine prevalent fungal species and response to standard antifungal therapy in inner-city children of color.	1
To measure the awareness of recurrent falling in patients and to compare their functional outcomes with those who suffered hip fracture after a sporadic isolated fall.	1
This cross-sectional study aimed to explore the characteristics of this high-cost population from a family perspective in China and provide suggestions for social health insurance policy development.	1
The aim of this study is to analyze the sociodemographic factors affecting the QoL of patients with asthma.	1
To investigate the associations of three adipose tissue-derived substances: adiponectin, leptin, and interleukin-6 with incident CVD in a longitudinal population-based study, including extensive adjustments for traditional and metabolic risk factors closely associated with overweight and obesity.	1
We aimed to determine the causative organisms and risk factors of HCA-BSIs in NICUs.	1
Major topics discussed in ACI and MIM were analyzed.	1
The aims of the present study were firstly to investigate the independent relation between cardiorespiratory fitness and physical activity pattern to the metabolic syndrome (MetS) and secondly to examine the predictive validity of uni- and triaxial accelerometry, respectively.	1
The main objective in the second year was to demonstrate whether the two interventions would further reduce parasite prevalence and malaria-related febrile illness in the study population.	1
Differentially regulated and alternatively splice variant transcripts accumulating in response to PI3K abrogation in T cells potentially encode proteins involved in T cell silencing.	1
This increase would help to explain obesity as a risk factor in preeclampsia.	1
The objective of this study was to determine the effect of birth preparedness and complication readiness on skilled care use in Southwest Ethiopia.	1
To examine if changes in medical school selection processes significantly impact on the composition of the student population.	1
This study investigated single nucleotide polymorphisms (SNPs) of the tripartite motif-containing 22 (TRIM22) gene associated with HBV infection outcome.	1
To evaluate the extent of multimorbidity among patients with NCDs in South African (SA) primary healthcare (PHC).	1
The objective of the study was to explore how nurses in the cardiac catheter laboratory (CCL) recognise and respond to clinical deterioration in patients with unstable ACS undergoing primary percutaneous coronary intervention (PCI).	1
The presence of sexual dimorphism was determined as an indicator of adaptation to domiciles.	1
To assess the efficacy of different treatment modalities in terms of survival in elderly patients with GBM.	1
To review the clinical experience of two Israeli medical centers with the ILR.	1
New immigrants to Hawai'i are Marshallese from the Republic of the Marshall Islands and Chuukese, Pohnpeians, and Kosraeans from the Federated States of Micronesia.	1
The present study was aimed to investigate the use of molecular methods in diagnosis of infection caused by Legionella pneumophila.	1
To analyse the association between single nucleotide polymorphisms (SNPs) of crucial haemostatic platelet receptors (GPIa, GPVI, P2Y12) and the risk of periprocedural bleeding complications related to CAG/PCI.	1
We aimed to evaluate the effect of Ginkgo biloba (GB) supplementation in ovarian ischemia/ reperfusion injury in an experimental torsion/de-torsion rat model.	1
To determine whether BAC predicts adverse CV outcomes and/or mortality in the women's ischemic Syndrome Evaluation Study (WISE).	1
Interviews were conducted with eight key informant medical staff members and community health workers.	1
To assess upper arch stability (irregularity index, widths and length of arch, overjet and overbite) in orthodontically treated patients by comparing late incisor stability with the initial malocclusion and type pf treatment undertaken.	1
To find potential prognostic protein biomarkers in colorectal cancer, using the proximity extension assays.	1
This study aimed to compare the clinical benefit of CIC with budesonide (BUD) in step-down therapy.	1
The main aim of this study was to compare viral DNA copies in the serum, cerumen, and saliva of patients with HBeAg levels in their sera.	1
The aim of this study was to develop and validate the Italian version of the Self-Determined Safety Motivation Scale and analyze the psychometric properties of the scale in terms of construct validity.	1
The aim of this study was to investigate the proportion and associated factors of involuntary admission in a psychiatric emergency service in Taiwan.	1
The aim of this study was to assess the use of pharmacological prophylaxis of venous thromboembolism (VTE) in real-life patients with pulmonary diseases.	1
To correlate ileal and colonic CLE parameters with endoscopy and histopathology in IBD.	1
The aim of this study was to identify the most important predictors of the total medical costs for first-time hemorrhagic stroke patients transferred to inpatient rehabilitation using a retrospective design.	1
Here, we aimed to characterize dysfunction in individual canals in INO-patients using the video-head-impulse test (vHIT) and to test the hypothesis of dissociated vertical canal impairment in INO.	1
The purpose of the present study was to follow-up childhood cancer survivors and detect late pulmonary toxicity.	1
Investigate the effect of educational intervention on perceived susceptibility, self-efficacy, and DMFT of pregnant women.	1
To assess determinants of breast cancer screening among women in Michigan USA, focusing on individual and neighborhood socio-economic status and healthcare access.	1
to evaluate the efficacy of adalimumab, in patients with Crohn's disease (CD) and failure to previous treatment with infliximab.	1
The aim of this study was to present the baseline characteristics and risk factors of the patients enrolled to the CAFE study.	1
This study is aimed at determining the pattern and types of Somatization disorder among adolescents attending secondary schools in south east Nigeria.	1
Examine the applicability and plausibility of the pyrosequencing method in identification of the Malassezia species.	1
We describe the distribution of GAS and LOMA grades and compare the GAS and LOMA scores to length of time an applicant knew the letter writer and number of EM rotations.	1
To establish P. turgidum secondary metabolite profile and to assess its antihepatotoxic effect.	1
?This research evaluates the use of clinical document interchange standards as the basis for quality measurement.	1
Following interviews regarding recreational activities and subjects' practice of ACTs, we conducted a pilot trial of spirometer games in 13 adolescents with CF, to test the hypothesis that games could increase subjects' engagement with forced expiratory breathing maneuvers and improve pulmonary function tests (PFTs).	1
The objective of this paper is to examine the progressivity of household expenditure on health care during the reform period, separately for expenditures on pharmaceuticals and medical devices, as well as for formal and informal patient payments for health care services.	1
To determine, in light of recently revised diagnostic criteria for MS, neuromyelitis optica, and Sjogren's Syndrome, if testing for autoantibodies in patients with a confirmed diagnosis of MS would reveal a frequency or demonstrate a clinical utility divergent from previous reports or lead to identification of undiagnosed cases of Sjogren's Syndrome.	1
The aim of this study was to systematically evaluate the effect of H. pylori eradication on the prevention of metachronous gastric lesions after ER of gastric neoplasms.	1
Correlations between plasma levels of evaluated parameters, severity of the disease and selected clinical parameters (skin prick tests, total and antigen specific IgE levels) were also analysed.	1
To measure the inspiratory pressure in mechanically ventilated patients suitable for weaning to determine the point at  which the P(Imax) is achieved within 60 seconds of observation, and analyze factors associated with P(Imax) values.	1
The purpose of this study was to determine the minimal inhibitory concentrations (MICs) of antifungal agents by using the Etest for Candida species isolated from patients with oral candidiasis.	1
To obtain valuable information on the endemicity of the above mentioned Infections in prisons of Italy.	1
The review aims to clarify the role of shear stress on outward remodelling during maturation and evaluate the evidence supporting theories related to the localisation and development of intimal hyperplasia within AVFs.	1
To assess prevalence and risk factors for asthma based on ISAAC questionnaire.	1
To determine the effect of Ideal Clinic HSS intervention on patient waiting time in public health facilities in Amajuba District, KwaZulu-Natal Province, SA.	1
To establish a sensitive and specific liquid chromatography-electrospray ionization (ESI)-tandem mass spectrometry (MS(n)) methodology for the identification of the major constituents in Egyptian carob extract.	1
To describe South African (SA) prescribers' knowledge of, attitudes to and perceptions of ABR.	1
To identify insulin resistance-associated proteins and metabolites which decrease more after GBP than after sleeve gastrectomy (SG) prior to diabetes remission.	1
The aim of the study was to observe psychophysical health conditions in a sample of nursery school and kindergarten teachers employed in the Education Services Division of the Municipality of Turin.	1
To present the clinical and dermoscopic characteristics of halo nevus observed in dermoscopy.	1
(1) To compare the concentrations of biomarkers of inflammation, endothelial activation and oxidative stress in subjects with low HDL-c compared to normal HDL-c; (2) To examine the association and correlation between HDL-c and these biomarkers and (3) To determine whether HDL-c is an independent predictor of these biomarkers.	1
Evaluation of four industrially important Leucas species for their in vitro antidiabetic potential and radical scavenging effect along with high-performance liquid chromatographic quantification of the bioactive triterpenes.	1
To describe our model of care, casemix and outcomes for the first 30 cases together with unique features of this service and potential strategies to manage the learning curve.	1
To endotype chronic rhinitis, and non-allergic rhinitis in particular, with help of molecular or cellular markers.	1
To determine the presence of virulence genes (VG) in E. colistrains isolated from the female genital tract.	1
To estimate HIV incidence in adults aged 18-47 years old and to investigate spatial variations of HIV prevalence in Manhi?a, a semi-rural area of southern Mozambique.	1
(i) To find the incidence of cytological abnormalities on a repeat test after a report of normal cytology or an inadequate Pap smear; and (ii) to explore the factors associated with an abnormal cytology on repeat testing.	1
To achieve an improved understanding of the value of emergency care, we have developed a framework that incorporates the perspectives of stakeholders in the delivery of health services.	1
We performed a prospective study to assess the preventive and therapeutic effect of a multi-growth factor (MGF)-containing cream on post-thyroidectomy scars.	1
To review the manifestations and management of neurosyphilis in a population of HIV-infected MSM.	1
The aim of this study was to detect VIM- and IMP-type metallo-beta-lactamase genes in Acinetobacter baumanniiisolates from patients in two Hospitals in Tehran.	1
The aim of this study was to analyse the effect of the placental mass on the severity of PE.	1
We also examined whether physical activity modifies the effects of these genetic loci on adiposity-related traits.	1
The purpose of this paper was to discuss the lessons learned after conducting a CBPR project and to share identified solutions.	1
This study aimed to investigatethe role of MAOA gene polymorphisms in the etiology of bipolar disorder in Iranian population.	1
The aim of this study was to elucidate the expression of Gli-1, PHLDA-1, TGF-汕1/汕2, and p63 in benign and malignant tumors of the hair and sebaceous glands and to determine their importance in the degree of tumor differentiation.	1
The aim of this study was to evaluate the in vivo activity of an alcoholic extract of Hedera helix (a native Iranian plant) on the experimental ulcer of zoonotic CL in Balb/c mice.	1
This study evaluates the persistence and compliance with AH treatment and identifies the associated factors among chronic kidney disease patients who initiated AH treatment.	1
Our aim was to measure the distribution and frequency of the stated reasons why patients choose the ED for care and why primary care physicians (PCPs) think their patients utilize the ED.	1
To determine the effect of NaFeEDTA-fortified wheat flour on urinary zinc excretion.	1
The aim of this study was to evaluate the clinical and electrophysiological relationship with QDASH scale in CTS.	1
This chart review study aimed to examine the experience of using alitretinoin for CHD in a dermatology office setting.	1
To compare the proportion of emergency department (ED) encounters with laboratory tests resulting subsequent to patient discharge before and after a clinical decision support was implemented.	1
The aim of this study was to analyze years of life lost due to premature deaths caused by diseases of the respiratory system in Poland from 1999 to 2013.	1
To confirm that serum AMH is elevated in adolescents with PCOS and to correlate serum AMH with ovarian US features in this population are the objectives of this study.	1
Thus, this study aimed to evaluate the functional and molecular alterations of sympathetic machinery and nitric oxide-cyclic guanosine monophosphate signaling pathway in Townes transgenic sickle cell disease mice.	1
The study was undertaken to describe the experience of gastric cancer in this population, and to demonstrate its specific clinical and pathological characteristics.	1
If sural sparing pattern specifically defined as absent/abnormal median and ulnar SNAP amplitude with normal sural SNAP amplitude (AMUNS) is sensitive and specific when compared with either absent/abnormal median and normal sural (AMNS) or absent/abnormal ulnar and normal sural (AUNS) for acute inflammatory demyelinating polyneuropathy (AIDP), chronic inflammatory demyelinating polyneuropathy (CIDP), select non-diabetic axonopathies (AXPs), and diabetic neuropathies (DNs).	1
This study describes the identity of Leishmania species, isolated from Meriones hurrianae from Chabahar County using RAPD-PCR methodology.	1
To perform detailed clinical phenotyping on a cohort of hospitalised patients with chronic forms of AF to understand if gender-based differences exist in the clinical presentation, thrombo-embolic risk and therapeutic management of high risk patients hospitalised with chronic AF.	1
As part of a wider effort to develop training of medical professionalism at our institution, an initiative was pursued to assess the current knowledge about and attitudes toward medical professionalism.	1
To compare the molecular pathway controlling type I IFN synthesis in HRV-stimulated peripheral blood mononuclear cells (PBMC) from asthmatic and healthy subjects.	1
To perform a qualitative analysis of emergency medicine (EM) consultation to reveal its complexity and elucidate strategies and frameworks for physician-to-physician communication.	1
In this report we have investigated the in vitro impact of p17 on HSCs transdifferentiation and function and underlying signaling pathways involved in these processes.	1
To assess the influence of household socio-economic status (SES), healthcare access and country level characteristics on breast and cervical cancer screening among women in developing countries.	1
To analyze likely functional stop codon mutations that are associated with fasting plasma concentration of Growth Hormone.	1
To determine by systematic literature review coupled with meta-analysis whether CAF ingested with CHO (CHO+CAF) improves endurance performance more than CHO alone.	1
In this study the effect of budesonide on T cell survival, on inducible co-stimulator T cells (ICOS), on Foxp3 and on IL-10 molecules in T lymphocyte sub-populations was assessed.	1
We used the needle grasper in SILC to hang and manipulate the gallbladder.	1
In this systematic review we aimed to determine whether continuous non-invasive respiratory monitoring improves early diagnosis of patient deterioration and reduces critical incidents on hospital wards.	1
This study aimed to evaluate the measurement of HBsAb titer and specific gamma interferon response among the vaccinated health care workers in Golestan Hospital, Ahvaz, Iran.	1
In this manuscript we will report on congruencies and interdependences from practice to theory and on major topics in MIM.	1
Our study sought to understand key information channels for delivering health information regarding HPV and the HPV vaccine to Black women of low SEP in Boston, Massachusetts.	1
To examine the influence of TB service organisation and culture on patients' experience of starting and staying on treatment in Riga, Latvia.	1
The present study aims to investigate the distribution of physical, neuropsychiatric, and cognitive disorders of a community sample of elderlies with certain socioeconomic data.	1
Establish the onset and reversibility of the hypercoagulable state during the development and regression of nutritionally-induced obesity in mice, and its relation to transcriptional changes and clearance rates of coagulation factors as well as its relation to changes in metabolic and inflammatory parameters.	1
To evaluate this new tool, which uses diagnostic levels of high-sensitivity troponin T (hs-TnT; > 14 ng/L) in a slightly modified version and compare this to a recently proposed approach using undetectable levels of hs-TnT to rule out patients.	1
To compare endogenous IgE binding proteins of three GM maize seeds containing Cry 1Ab,1Ac,1C transgenic proteins with non GM maize.	1
The aim of this investigation was to systematically examine the published literature to explore different types of pharmacist interventions used for enhancing patient adherence to antidepressant medications.	1
This longitudinal retrospective study aimed to examine the effects of telbivudine monotherapy and combination therapy (adefovir plus telbivudine) on renal function.	1
In the present study, we aimed to quantitatively examine the base, sides, area, and interior angles of the inferior lumbar triangle in the human fetus so as to provide their growth dynamics.	1
To describe KMnO4 use by THPs in KwaZulu-Natal, SA.	1
In this study the analgesic effect of single injection femoral nerve block (SFNB) was compared with local infiltration analgesia (LIA).	1
The present study aimed to predict preeclampsia by the hemoglobin profiles through longitudinal discriminant analysis and comparing the error rate of discrimination in longitudinal and cross sectional data.	1
Evaluate pharmacokinetics (PK), safety, and tolerability of 3 formulations of once-daily dapsone gel, 7.5% and of twice-daily dapsone gel, 5% over 28 days in patients with moderate acne vulgaris.	1
The aims of the study were to evaluate the prevalence and genotypes of Cryptosporidium and Giardia species from different water sources as well as to monitor and characterize the (oo)cyst contamination sources in watersheds.	1
The authors compared the accuracy of these examinations with this indication in their practice, and analysed the added value of ceCT which was performed as a supplement to standard PET/CT.	1
To determine and compare SMN protein and mRNA levels in two cell types (i.e.	1
To test the role of IgA anti B2GP1 as a risk factor for the development of APS-events (thrombosis or pregnancy morbidity) in asymptomatic population with a 5-year follow-up.	1
To determine the views of future doctors (medical students) regarding euthanasia and physician-assisted suicide (PAS) and to ascertain their stance on its legalisation in South Africa (SA).	1
The aim of this study was to investigate the c424C/A polymorphism within the IL-25 gene in MS patients in comparison to healthy controls.	1
In the present study, the author studied the effect of intravenously administered tranexamic acid in patients undergoing primary total hip arthroplasty in order to examine whether this treatment could reduce postoperative blood loss, the amount of transfused packed red cells, and the cost of the blood saving and/or transfusion.	1
This manuscript reports on Part 2 of a research study that explored the experience of spiritual conversations for patients (Part I) and mental health professionals (Part 2) on acute psychiatric units.	1
The purpose of this present study was to examine differences in children's social mobility: (1) across contexts by age and (2) between non-disabled and disabled children.	1
To study the etiology, varied presentations, and outcome after therapy of patients with hypokalemic paralysis.	1
After a brief description of the relationship between depression and early Alzheimer's disease in elderly people, this paper aims to present an updated literature review of data on differential diagnoses between these disorders.	1
To investigate the relationship between being overweight/ obese and the rate of time preference in an older English population, using savings as a proxy for time preference.	1
The purpose of our study was to estimate the rate and to study clinical patterns of cutaneous adverse drug reactions to calcium channel blockers.	1
The number of lives lost as a result of these delays was calculated.	1
Review the causes of hypertransaminasemia by focusing on more rare as metabolic and genetic diseases.	1
